Enroll,READING,WRITING,LISTENING,ORAL,FINAL,NIVEL,adm_administration_date
44145,22,7,16,20,C,1,9/7/19 15:00
44273,22,11,14,13,C,1,9/7/19 15:00
44479,20,8,12,18,C,1,9/7/19 15:00
44575,9,3,4,0,E,1,9/7/19 15:00
44641,22,8,12,14,C,1,9/7/19 15:00
44645,13,5,11,13,D,1,9/7/19 15:00
44666,23,11,15,19,C,1,9/7/19 15:00
44747,22,11,16,18,C,1,9/7/19 15:00
44853,15,10,13,18,C,1,9/7/19 15:00
44862,21,10,14,16,C,1,9/7/19 15:00
44970,18,5,9,20,D,1,9/7/19 15:00
44984,22,11,15,14,C,1,9/7/19 15:00
45033,16,7,8,11,D,1,9/7/19 15:00
45034,18,12,17,13,C,1,9/7/19 15:00
45048,19,5,11,14,D,1,9/7/19 15:00
45053,22,13,14,20,C,1,9/7/19 15:00
45062,15,9,9,15,D,1,9/7/19 15:00
45073,23,10,10,20,C,1,9/7/19 15:00
45081,22,14,12,14,C,1,9/7/19 15:00
45105,18,6,9,16,D,1,9/7/19 15:00
45153,22,9,14,14,C,1,9/7/19 15:00
45195,23,14,19,18,A,1,9/7/19 15:00
45213,9,5,7,10,E,1,9/7/19 15:00
45214,21,13,17,20,B,1,9/7/19 15:00
45236,22,13,9,12,C,1,9/7/19 15:00
45259,23,9,18,20,C,1,9/7/19 15:00
45280,13,4,10,9,E,1,9/7/19 15:00
45312,23,11,18,15,B,1,9/7/19 15:00
45321,21,13,14,13,C,1,9/7/19 15:00
45324,19,10,16,16,C,1,9/7/19 15:00
45327,22,10,18,20,C,1,9/7/19 15:00
45372,24,14,17,19,A,1,9/7/19 15:00
45385,22,9,15,19,C,1,9/7/19 15:00
45402,24,13,16,19,B,1,9/7/19 15:00
45403,21,12,14,17,C,1,9/7/19 15:00
45432,20,5,12,16,C,1,9/7/19 15:00
45434,22,12,17,15,B,1,9/7/19 15:00
45448,17,7,12,14,D,1,9/7/19 15:00
45457,24,12,19,20,A,1,9/7/19 15:00
45467,23,11,15,19,C,1,9/7/19 15:00
45477,6,5,5,8,E,1,9/7/19 15:00
45319,24,13,19,20,A,1,9/7/19 15:00
45334,21,10,16,19,C,1,9/7/19 15:00
45369,22,11,18,19,B,1,9/7/19 15:00
45377,20,12,19,20,C,1,9/7/19 15:00
45389,18,5,11,14,D,1,9/7/19 15:00
45397,18,6,12,12,D,1,9/7/19 15:00
45406,22,10,15,19,C,1,9/7/19 15:00
45407,20,10,13,14,C,1,9/7/19 15:00
45430,21,7,4,11,D,1,9/7/19 15:00
45459,23,11,20,14,C,1,9/7/19 15:00
45476,21,11,12,18,C,1,9/7/19 15:00
45513,24,9,16,16,C,1,9/7/19 15:00
45519,17,9,4,18,D,1,9/7/19 15:00
45526,22,8,14,13,C,1,9/7/19 15:00
45531,19,8,14,16,C,1,9/7/19 15:00
45276,24,9,18,17,C,1,9/7/19 15:00
45532,21,9,15,19,C,1,9/7/19 15:00
45539,21,12,20,14,C,1,9/7/19 15:00
45541,24,12,16,15,B,1,9/7/19 15:00
45545,22,7,13,19,C,1,9/7/19 15:00
45546,13,7,12,5,E,1,9/7/19 15:00
45296,21,6,8,10,D,1,9/7/19 15:00
45307,23,10,15,12,C,1,9/7/19 15:00
45854,24,7,11,8,D,1,9/7/19 15:00
45868,24,16,18,14,B,1,9/7/19 15:00
45642,24,9,16,20,C,1,9/7/19 15:00
45655,17,9,7,13,D,1,9/7/19 15:00
45701,20,8,6,8,E,1,9/7/19 15:00
45787,23,14,15,16,B,1,9/7/19 15:00
45801,24,14,14,20,B,1,9/7/19 15:00
45565,19,8,15,11,C,1,9/7/19 15:00
45893,21,12,13,14,C,1,9/7/19 15:00
45901,15,7,8,8,E,1,9/7/19 15:00
45932,24,10,14,18,C,1,9/7/19 15:00
45938,22,12,19,18,B,1,9/7/19 15:00
45943,22,9,13,16,C,1,9/7/19 15:00
45948,23,13,19,20,A,1,9/7/19 15:00
45949,23,11,19,19,B,1,9/7/19 15:00
45956,22,16,17,18,A,1,9/7/19 15:00
45963,23,13,18,16,B,1,9/7/19 15:00
45966,22,12,12,17,C,1,9/7/19 15:00
45972,23,14,17,17,B,1,9/7/19 15:00
45978,23,14,17,18,A,1,9/7/19 15:00
45983,21,9,17,18,C,1,9/7/19 15:00
46087,17,9,8,15,D,1,9/7/19 15:00
46108,23,13,17,16,C,1,9/7/19 15:00
46119,15,5,10,13,D,1,9/7/19 15:00
46159,18,6,10,14,D,1,9/7/19 15:00
45980,18,6,15,17,C,1,9/7/19 15:00
45995,21,8,14,14,C,1,9/7/19 15:00
46002,22,14,13,18,C,1,9/7/19 15:00
46144,24,11,18,20,B,1,9/7/19 15:00
46205,23,14,16,16,B,1,9/7/19 15:00
46229,19,8,16,17,C,1,9/7/19 15:00
46158,23,12,16,17,C,1,9/7/19 15:00
44231,23,8,13,15,C,1,9/7/19 15:00
44430,22,9,16,10,D,1,9/7/19 15:00
44529,18,10,17,15,C,1,9/7/19 15:00
44552,15,2,8,14,D,1,9/7/19 15:00
44598,22,10,13,16,C,1,9/7/19 15:00
44731,20,13,16,17,C,1,9/7/19 15:00
44764,23,13,12,20,C,1,9/7/19 15:00
44917,17,6,14,16,D,1,9/7/19 15:00
44992,22,10,19,20,C,1,9/7/19 15:00
45022,23,6,9,17,C,1,9/7/19 15:00
45027,22,10,11,18,C,1,9/7/19 15:00
45091,20,8,13,19,C,1,9/7/19 15:00
45128,24,11,16,19,C,1,9/7/19 15:00
45231,17,10,14,19,C,1,9/7/19 15:00
45243,18,7,9,5,E,1,9/7/19 15:00
45274,24,13,18,20,A,1,9/7/19 15:00
45293,18,10,11,16,C,1,9/7/19 15:00
45295,24,11,16,17,C,1,9/7/19 15:00
45315,23,14,18,20,A,1,9/7/19 15:00
45318,20,9,9,17,C,1,9/7/19 15:00
45328,14,5,12,16,D,1,9/7/19 15:00
45330,23,6,11,17,C,1,9/7/19 15:00
45362,22,12,15,17,C,1,9/7/19 15:00
45366,20,9,10,13,C,1,9/7/19 15:00
45417,21,9,15,14,C,1,9/7/19 15:00
45420,19,7,13,10,D,1,9/7/19 15:00
45426,22,8,11,20,C,1,9/7/19 15:00
45445,20,12,18,19,C,1,9/7/19 15:00
45456,24,12,12,19,C,1,9/7/19 15:00
45350,22,9,15,19,C,1,9/7/19 15:00
45634,12,3,3,10,E,1,9/7/19 15:00
45380,19,7,12,20,C,1,9/7/19 15:00
45413,19,8,17,14,C,1,9/7/19 15:00
45453,11,9,7,10,E,1,9/7/19 15:00
45537,20,11,16,18,C,1,9/7/19 15:00
45559,18,11,11,20,C,1,9/7/19 15:00
45864,18,4,9,19,D,1,9/7/19 15:00
45890,22,12,13,17,C,1,9/7/19 15:00
45728,19,6,11,15,C,1,9/7/19 15:00
45743,22,9,13,13,C,1,9/7/19 15:00
45796,23,13,10,15,C,1,9/7/19 15:00
45798,24,14,19,19,A,1,9/7/19 15:00
46086,23,14,20,20,A,1,9/7/19 15:00
46110,13,3,6,11,D,1,9/7/19 15:00
46245,24,14,18,18,A,1,9/7/19 15:00
46170,18,10,13,13,C,1,9/7/19 15:00
46183,22,12,18,18,B,1,9/7/19 15:00
46250,20,9,17,17,C,1,9/7/19 15:00
44140,21,6,14,12,C,1,9/7/19 15:00
44161,18,7,17,10,D,1,9/7/19 15:00
44163,4,3,10,6,E,1,9/7/19 15:00
44164,21,10,12,19,C,1,9/7/19 15:00
44166,18,10,11,13,C,1,9/7/19 15:00
44167,24,10,14,20,C,1,9/7/19 15:00
44169,17,8,11,8,D,1,9/7/19 15:00
44172,14,5,12,15,D,1,9/7/19 15:00
44173,23,13,10,18,C,1,9/7/19 15:00
44175,24,11,20,19,A,1,9/7/19 15:00
44193,22,14,18,19,B,1,9/7/19 15:00
44198,10,8,5,9,E,1,9/7/19 15:00
44206,17,6,10,9,E,1,9/7/19 15:00
44210,23,11,13,13,C,1,9/7/19 15:00
44213,24,14,19,19,A,1,9/7/19 15:00
44219,18,6,11,9,E,1,9/7/19 15:00
44229,19,9,14,14,C,1,9/7/19 15:00
44239,23,13,12,12,C,1,9/7/19 15:00
44254,20,9,9,6,D,1,9/7/19 15:00
44264,22,8,18,11,C,1,9/7/19 15:00
44265,15,4,10,9,E,1,9/7/19 15:00
44275,18,8,12,9,D,1,9/7/19 15:00
44276,8,3,8,2,E,1,9/7/19 15:00
44281,22,8,9,7,D,1,9/7/19 15:00
44323,23,10,16,20,C,1,9/7/19 15:00
44329,19,7,10,13,C,1,9/7/19 15:00
44337,17,11,12,12,C,1,9/7/19 15:00
44350,23,11,17,16,B,1,9/7/19 15:00
44368,23,14,18,18,A,1,9/7/19 15:00
44399,22,8,15,12,C,1,9/7/19 15:00
44400,20,12,14,15,C,1,9/7/19 15:00
44409,20,7,7,11,D,1,9/7/19 15:00
44416,17,6,8,10,E,1,9/7/19 15:00
44418,19,7,3,11,D,1,9/7/19 15:00
44420,19,7,10,15,C,1,9/7/19 15:00
44442,22,10,16,11,C,1,9/7/19 15:00
44485,19,8,13,13,C,1,9/7/19 15:00
44506,23,13,15,14,C,1,9/7/19 15:00
44509,23,11,8,14,C,1,9/7/19 15:00
44512,23,13,12,11,C,1,9/7/19 15:00
44515,24,13,18,16,B,1,9/7/19 15:00
44534,19,7,18,11,C,1,9/7/19 15:00
44539,20,10,15,13,C,1,9/7/19 15:00
44546,19,5,11,9,D,1,9/7/19 15:00
44547,20,10,10,8,D,1,9/7/19 15:00
44562,13,4,8,11,D,1,9/7/19 15:00
44563,20,11,12,8,D,1,9/7/19 15:00
44569,16,7,11,14,D,1,9/7/19 15:00
44579,23,6,19,20,C,1,9/7/19 15:00
44590,12,6,5,6,E,1,9/7/19 15:00
44599,22,14,14,19,C,1,9/7/19 15:00
44613,14,8,7,18,D,1,9/7/19 15:00
44618,23,12,17,18,B,1,9/7/19 15:00
44619,22,13,18,20,B,1,9/7/19 15:00
44625,17,11,8,6,D,1,9/7/19 15:00
44626,15,4,9,11,D,1,9/7/19 15:00
44636,18,8,9,13,C,1,9/7/19 15:00
44660,22,11,18,17,C,1,9/7/19 15:00
44663,23,6,19,11,C,1,9/7/19 15:00
44665,18,8,9,14,D,1,9/7/19 15:00
44668,4,3,3,0,E,1,9/7/19 15:00
44670,24,11,19,20,B,1,9/7/19 15:00
44672,17,10,7,13,D,1,9/7/19 15:00
44696,23,10,17,20,C,1,9/7/19 15:00
44697,22,10,18,20,C,1,9/7/19 15:00
44713,23,14,15,20,C,1,9/7/19 15:00
44715,7,4,7,5,E,1,9/7/19 15:00
44716,15,7,13,18,D,1,9/7/19 15:00
44727,18,9,12,14,C,1,9/7/19 15:00
44735,19,8,14,14,C,1,9/7/19 15:00
44742,20,5,14,10,D,1,9/7/19 15:00
44756,14,11,10,12,D,1,9/7/19 15:00
44757,23,13,19,20,A,1,9/7/19 15:00
44767,19,7,14,13,C,1,9/7/19 15:00
44777,24,16,16,19,A,1,9/7/19 15:00
44782,19,8,8,14,D,1,9/7/19 15:00
44794,21,5,10,13,C,1,9/7/19 15:00
44797,20,3,9,10,E,1,9/7/19 15:00
44798,24,11,15,9,D,1,9/7/19 15:00
44810,24,13,15,15,C,1,9/7/19 15:00
44811,23,14,18,14,B,1,9/7/19 15:00
44819,23,10,16,16,C,1,9/7/19 15:00
44820,20,12,13,19,C,1,9/7/19 15:00
44829,19,12,15,20,C,1,9/7/19 15:00
44839,10,3,6,11,D,1,9/7/19 15:00
44854,20,10,10,16,C,1,9/7/19 15:00
44856,24,14,16,15,B,1,9/7/19 15:00
44865,24,9,17,13,C,1,9/7/19 15:00
45286,6,3,6,8,E,1,9/7/19 15:00
45590,24,13,15,16,B,1,9/7/19 15:00
45614,22,10,17,13,C,1,9/7/19 15:00
45641,19,11,9,13,C,1,9/7/19 15:00
44121,22,14,14,12,C,1,9/7/19 15:00
45675,20,6,11,13,C,1,9/7/19 15:00
45702,23,8,13,17,C,1,9/7/19 15:00
45827,21,10,10,16,C,1,9/7/19 15:00
45832,14,7,9,10,E,1,9/7/19 15:00
45837,21,11,16,20,C,1,9/7/19 15:00
45845,19,12,15,16,C,1,9/7/19 15:00
45852,21,14,13,19,C,1,9/7/19 15:00
45859,23,9,15,11,C,1,9/7/19 15:00
45860,23,16,17,19,A,1,9/7/19 15:00
45865,24,8,9,16,C,1,9/7/19 15:00
45872,23,13,17,19,B,1,9/7/19 15:00
45878,24,11,16,11,C,1,9/7/19 15:00
45880,17,9,11,17,C,1,9/7/19 15:00
45895,22,11,16,16,C,1,9/7/19 15:00
45900,21,11,15,16,C,1,9/7/19 15:00
45909,18,4,15,9,E,1,9/7/19 15:00
45919,20,13,16,18,C,1,9/7/19 15:00
45680,14,3,6,9,E,1,9/7/19 15:00
45692,21,9,8,7,D,1,9/7/19 15:00
45697,13,3,6,18,D,1,9/7/19 15:00
45711,21,2,8,10,E,1,9/7/19 15:00
45718,22,10,16,9,D,1,9/7/19 15:00
45734,17,10,11,10,D,1,9/7/19 15:00
45739,23,11,18,20,B,1,9/7/19 15:00
45740,11,5,6,11,D,1,9/7/19 15:00
45751,14,10,5,10,E,1,9/7/19 15:00
45800,22,12,13,12,C,1,9/7/19 15:00
45805,20,14,18,11,C,1,9/7/19 15:00
45807,22,11,17,14,C,1,9/7/19 15:00
45813,8,4,6,0,E,1,9/7/19 15:00
45815,24,12,18,18,A,1,9/7/19 15:00
45821,24,11,12,15,C,1,9/7/19 15:00
45884,21,10,17,20,C,1,9/7/19 15:00
45896,21,9,18,19,C,1,9/7/19 15:00
45905,16,8,4,15,D,1,9/7/19 15:00
45911,15,6,11,10,E,1,9/7/19 15:00
45913,22,12,17,19,C,1,9/7/19 15:00
45916,16,9,8,9,E,1,9/7/19 15:00
45924,20,8,12,14,C,1,9/7/19 15:00
45925,23,10,19,20,B,1,9/7/19 15:00
45981,20,15,15,16,C,1,9/7/19 15:00
45982,22,12,18,20,B,1,9/7/19 15:00
45989,20,9,10,15,C,1,9/7/19 15:00
46008,24,13,19,20,A,1,9/7/19 15:00
46071,18,7,16,17,C,1,9/7/19 15:00
46080,6,1,5,11,D,1,9/7/19 15:00
46145,21,9,14,18,C,1,9/7/19 15:00
46022,18,7,9,16,D,1,9/7/19 15:00
46033,21,9,14,19,C,1,9/7/19 15:00
46050,23,13,16,20,B,1,9/7/19 15:00
46062,10,4,3,13,D,1,9/7/19 15:00
46140,16,9,15,17,C,1,9/7/19 15:00
46153,14,6,7,18,D,1,9/7/19 15:00
46155,22,6,13,18,C,1,9/7/19 15:00
46156,18,6,10,19,D,1,9/7/19 15:00
46215,11,3,7,17,D,1,9/7/19 15:00
46222,24,13,18,20,A,1,9/7/19 15:00
46241,20,11,15,16,C,1,9/7/19 15:00
44151,23,6,8,9,D,1,9/7/19 15:00
44154,21,11,18,19,C,1,9/7/19 15:00
44157,18,7,8,9,E,1,9/7/19 15:00
44184,23,11,16,20,C,1,9/7/19 15:00
44201,21,13,17,17,C,1,9/7/19 15:00
44228,23,13,18,20,A,1,9/7/19 15:00
44236,21,5,6,13,D,1,9/7/19 15:00
44242,11,7,9,5,E,1,9/7/19 15:00
44266,14,5,6,17,D,1,9/7/19 15:00
44284,16,7,11,16,D,1,9/7/19 15:00
44301,22,7,10,9,D,1,9/7/19 15:00
44330,24,12,17,18,B,1,9/7/19 15:00
44344,21,8,12,13,C,1,9/7/19 15:00
44360,15,6,7,12,D,1,9/7/19 15:00
44366,15,9,4,15,D,1,9/7/19 15:00
44370,20,9,12,14,C,1,9/7/19 15:00
44373,24,14,18,20,A,1,9/7/19 15:00
44401,23,10,17,20,C,1,9/7/19 15:00
44449,24,15,19,19,A,1,9/7/19 15:00
44473,11,9,5,0,E,1,9/7/19 15:00
44480,24,13,20,20,A,1,9/7/19 15:00
44497,18,3,7,4,E,1,9/7/19 15:00
44550,22,11,18,18,C,1,9/7/19 15:00
44554,18,7,16,16,C,1,9/7/19 15:00
44556,8,5,7,9,E,1,9/7/19 15:00
44570,24,13,19,20,A,1,9/7/19 15:00
44577,19,8,11,14,D,1,9/7/19 15:00
44581,22,8,15,18,C,1,9/7/19 15:00
44601,22,13,15,16,C,1,9/7/19 15:00
44631,23,11,9,8,D,1,9/7/19 15:00
44632,23,7,6,11,C,1,9/7/19 15:00
44671,20,6,14,14,C,1,9/7/19 15:00
44682,23,9,15,15,C,1,9/7/19 15:00
44686,23,12,16,20,B,1,9/7/19 15:00
44689,22,13,12,15,C,1,9/7/19 15:00
44690,21,11,16,19,C,1,9/7/19 15:00
44691,22,5,13,8,D,1,9/7/19 15:00
44701,23,7,18,19,C,1,9/7/19 15:00
44702,24,12,17,16,B,1,9/7/19 15:00
44705,7,1,2,5,E,1,9/7/19 15:00
44707,15,9,7,10,E,1,9/7/19 15:00
44714,5,7,4,7,E,1,9/7/19 15:00
44721,20,3,6,0,E,1,9/7/19 15:00
44733,22,9,19,20,C,1,9/7/19 15:00
44740,23,10,11,16,C,1,9/7/19 15:00
44741,22,7,16,18,C,1,9/7/19 15:00
44744,24,13,14,18,B,1,9/7/19 15:00
44750,6,3,7,0,E,1,9/7/19 15:00
44766,20,8,15,15,C,1,9/7/19 15:00
44772,16,7,7,5,E,1,9/7/19 15:00
44774,22,9,16,17,C,1,9/7/19 15:00
44776,20,10,14,15,C,1,9/7/19 15:00
44784,22,9,13,16,C,1,9/7/19 15:00
44787,19,6,6,14,D,1,9/7/19 15:00
44788,15,9,9,5,E,1,9/7/19 15:00
44812,23,13,20,20,A,1,9/7/19 15:00
44816,12,7,6,4,E,1,9/7/19 15:00
44823,22,12,17,20,C,1,9/7/19 15:00
44824,22,10,15,20,C,1,9/7/19 15:00
44826,16,6,12,6,E,1,9/7/19 15:00
44831,21,11,15,14,C,1,9/7/19 15:00
44832,21,8,9,5,D,1,9/7/19 15:00
44840,21,10,10,11,C,1,9/7/19 15:00
44841,17,7,13,16,C,1,9/7/19 15:00
44848,21,11,17,16,C,1,9/7/19 15:00
44855,22,9,17,14,C,1,9/7/19 15:00
44858,21,8,12,11,C,1,9/7/19 15:00
44859,23,11,15,15,C,1,9/7/19 15:00
44860,11,7,5,7,E,1,9/7/19 15:00
44861,18,9,7,7,E,1,9/7/19 15:00
44864,19,10,14,7,D,1,9/7/19 15:00
44867,20,4,12,14,D,1,9/7/19 15:00
44870,20,12,18,18,C,1,9/7/19 15:00
44875,21,8,11,16,C,1,9/7/19 15:00
44878,24,12,16,20,B,1,9/7/19 15:00
44881,18,12,11,13,C,1,9/7/19 15:00
44882,22,7,12,13,C,1,9/7/19 15:00
44885,24,11,17,19,B,1,9/7/19 15:00
44890,23,12,18,17,B,1,9/7/19 15:00
44893,2,5,4,7,E,1,9/7/19 15:00
44894,21,9,15,15,C,1,9/7/19 15:00
44903,20,11,18,17,C,1,9/7/19 15:00
44904,24,12,15,12,C,1,9/7/19 15:00
44907,23,9,17,15,C,1,9/7/19 15:00
